comune,delta_rd_percent,delta_ru_totali,delta_ru_pro_capite
FRONT,0.0,0.0,0.0
FRONT,0.0,0.0,0.0
FRONT,-64.64,-681.634,-414.6192214111922
FROSSASCO,0.0,0.0,0.0
FROSSASCO,0.0,0.0,0.0
FROSSASCO,63.09,1940.105,686.2769720551822
FROSSASCO,-61.39,-1717.365,-598.1765935214211
GARZIGLIANA,0.0,0.0,0.0
GARZIGLIANA,56.51,302.238,561.7806691449814
GARZIGLIANA,-54.24,-291.403,-537.6439114391144
GARZIGLIANA,0.0,0.0,0.0
GASSINO TORINESE,59.27,3440.327,371.1648505771928
GASSINO TORINESE,0.0,0.0,0.0
GASSINO TORINESE,0.0,0.0,0.0
GASSINO TORINESE,-59.3,-3666.964,-390.72605221097496
GERMAGNANO,0.0,0.0,0.0
GERMAGNANO,67.53,447.385,401.60233393177737
GERMAGNANO,0.0,0.0,0.0
GERMAGNANO,-65.75,-437.682,-387.329203539823
GIAGLIONE,0.0,0.0,0.0
GIAGLIONE,0.0,0.0,0.0
GIAGLIONE,66.71,273.63,459.88235294117646
GIAGLIONE,-61.77,-262.403,-435.8853820598007
GIAVENO,0.0,0.0,0.0
GIAVENO,-71.54,-8532.736,-526.5820784991361
GIAVENO,0.0,0.0,0.0
GIAVENO,68.56,8269.955,506.33410885936445
GIVOLETTO,-82.83,-1699.217,-423.6392420842683
GIVOLETTO,0.0,0.0,0.0
GIVOLETTO,84.77,1827.548,445.0920603994155
GIVOLETTO,0.0,0.0,0.0
GRAVERE,58.28,371.985,564.4688922610015
GRAVERE,0.0,0.0,0.0
GRAVERE,0.0,0.0,0.0
GRAVERE,-53.75,-334.091,-497.90014903129656
GROSCAVALLO,0.0,0.0,0.0
GROSCAVALLO,0.0,0.0,0.0
GROSCAVALLO,-54.4,-206.05,-1051.2755102040817
GROSCAVALLO,55.6,187.932,930.3564356435644
GROSSO,-74.27,-437.858,-457.53187042842217
GROSSO,0.0,0.0,0.0
GROSSO,75.23,437.46,440.1006036217304
GROSSO,0.0,0.0,0.0
GRUGLIASCO,-66.33,-15958.692,-434.84174386920984
GRUGLIASCO,69.42,17840.393,485.2680067457295
GRUGLIASCO,0.0,0.0,0.0
GRUGLIASCO,0.0,0.0,0.0
INGRIA,0.0,0.0,0.0
INGRIA,0.0,0.0,0.0
INGRIA,-38.23,-23.958,-544.5
INGRIA,48.37,31.973,695.0652173913044
INVERSO PINASCA,0.0,0.0,0.0
INVERSO PINASCA,72.69,269.866,392.81804949053856
INVERSO PINASCA,-54.01,-334.488,-486.1744186046512
INVERSO PINASCA,0.0,0.0,0.0
ISOLABELLA,64.77,100.94,278.07162534435264
ISOLABELLA,-61.51,-107.691,-287.9438502673797
ISOLABELLA,0.0,0.0,0.0
ISSIGLIO,0.0,0.0,0.0
ISSIGLIO,-48.04,-140.734,-342.4184914841849
ISSIGLIO,0.0,0.0,0.0
ISSIGLIO,49.65,178.979,404.0158013544018
IVREA,0.0,0.0,0.0
IVREA,64.82,14050.335,624.9037093043943
IVREA,0.0,0.0,0.0
IVREA,-63.14,-13498.31,-585.6607948628948
LA CASSA,-73.54,-678.799,-384.1533672891907
LA CASSA,0.0,0.0,0.0
LA CASSA,70.49,710.962,401.2200902934537
LA CASSA,0.0,0.0,0.0
LA LOGGIA,68.04,4324.888,495.7459880788629
LA LOGGIA,0.0,0.0,0.0
LA LOGGIA,0.0,0.0,0.0
LA LOGGIA,-68.33,-4330.356,-491.025739879805
LANZO TORINESE,0.0,0.0,0.0
LANZO TORINESE,0.0,0.0,0.0
LANZO TORINESE,-68.71,-2270.839,-461.8342485255237
LANZO TORINESE,74.73,2614.194,528.0133306402747
LAURIANO,0.0,0.0,0.0
LAURIANO,69.44,649.045,462.94222539229673
LAURIANO,0.0,0.0,0.0
LAURIANO,-66.88,-653.145,-454.51983298538624
LEINI',0.0,0.0,0.0
LEINI',-61.99,-9173.016,-562.6581610746489
LEINI',63.37,9774.647,598.8633133194461
LEINI',0.0,0.0,0.0
LEMIE,46.91,157.122,1000.7770700636943
